case_id,reynolds,aoa,eval_point_in_envelope,w_surr_03_fired,pred_cl,pred_cd,ref_cl,ref_cd,err_cl,err_cd
airFoil2D_SST_60.711_3.967_2.64_3.548_0.0_5.376,3917306.6909923204,3.967,True,False,0.6446009411071912,0.029966674849290026,0.6143905538674542,0.008409349375042417,0.030210387239737013,0.02155732547424761
airFoil2D_SST_59.682_-3.433_2.583_6.336_0.0_19.86,3850911.6623314335,-3.4329999999999994,True,False,-0.04015424112314747,0.07839002436139986,-0.10940840457134549,0.010618621449551604,0.06925416344819801,0.06777140291184826
airFoil2D_SST_59.563_7.622_3.247_0.0_6.08,3843233.325683576,7.622,True,False,1.0133107133808006,-0.024310284933312026,0.8252330486880612,0.010974090364515021,0.18807766469273934,0.03528437529782705
airFoil2D_SST_67.163_10.587_0.788_5.665_0.0_11.027,4333614.489748434,10.587,True,False,1.2314903442485685,0.007391949633923922,1.1894610759846955,0.0139125007907256,0.04202926826387299,0.006520551156801679
airFoil2D_SST_49.469_-2.217_4.447_5.034_12.918,3191929.711200591,-2.217,True,False,0.10102219941128496,-0.04420176932446773,0.2634686444543932,0.009609956159586475,0.16244644504310826,0.053811725484054204
airFoil2D_SST_58.626_7.214_2.373_4.092_1.0_11.315,3782774.490061369,7.214,True,False,0.9209570709339819,0.011608854175387276,0.9534126431426159,0.011405595202261525,0.03245557220863393,0.00020325897312575142
airFoil2D_SST_48.774_-3.265_0.413_7.125_0.0_10.73,3147085.6442236076,-3.265,True,False,-0.30017353382872713,-0.03694670894683391,-0.3126753307565594,0.008987617181187894,0.012501796927832265,0.045934326128021806
airFoil2D_SST_67.163_1.039_3.194_3.045_0.0_19.293,4333614.489748434,1.039,True,False,0.25695609850299983,0.054950572823418975,0.29638663481596755,0.010392040221886733,0.03943053631296772,0.04455853260153224
airFoil2D_SST_61.489_13.586_3.556_5.162_1.0_9.389,3967506.236471591,13.586,True,False,1.5273205109792427,0.07825149683213531,1.6551748551357464,0.02149060954720831,0.12785434415650365,0.056760887284926995
airFoil2D_SST_63.737_3.34_2.078_5.056_1.0_9.117,4112555.8228949867,3.34,True,False,0.5606011203641095,0.026709582080088085,0.5438998327209715,0.008728546746854459,0.01670128764313794,0.017981035333233628
airFoil2D_SST_77.67_2.842_3.701_3.081_5.108,5011566.449068102,2.842,True,False,0.6974581518208697,-0.039520574279744175,0.6963964686756539,0.008085686339172228,0.0010616831452158193,0.0476062606189164
airFoil2D_SST_68.096_11.613_1.485_4.441_1.0_11.892,4393815.230021134,11.613,True,False,1.284440951773718,0.009249904204230358,1.3231881837900779,0.015649383433837143,0.03874723201635977,0.0063994792296067846
airFoil2D_SST_73.831_12.535_2.316_4.806_0.0_15.905,4763859.437377972,12.535,True,False,1.4622115510977924,0.03523743748146681,1.4184272790831112,0.019000512997637165,0.04378427201468127,0.016236924483829643
airFoil2D_SST_60.295_-0.953_1.701_6.885_1.0_6.221,3890464.7746435073,-0.9529999999999998,True,False,-0.0037160794532680452,0.017099836645252345,0.07130143891234894,0.007619856188272074,0.07501751836561699,0.009479980456980272
airFoil2D_SST_55.856_8.468_5.544_6.373_9.497,3604043.4605272035,8.468,True,False,1.2887851508308192,-0.0005372747703947522,1.5382914397663605,0.016949134615358304,0.24950628893554128,0.017486409385753056
airFoil2D_SST_64.523_7.395_4.969_5.732_6.743,4163271.559073273,7.395,True,False,1.0702877895189324,0.0348472349141736,1.3897937535772702,0.0132696001478941,0.31950596405833775,0.021577634766279503
airFoil2D_SST_74.577_10.798_1.552_6.403_0.0_9.246,4811994.220061179,10.797999999999998,True,False,1.3555788272006368,0.0039728855939359375,1.2928276479021372,0.014235135925106765,0.0627511792984996,0.010262250331170827
airFoil2D_SST_63.972_0.897_2.419_6.034_9.308,4127718.924678571,0.8969999999999999,True,False,0.2670672559114303,0.016836562934196303,0.4183135834071953,0.008403624840947713,0.151246327495765,0.00843293809324859
airFoil2D_SST_70.363_10.191_0.565_5.235_12.884,4540090.769354691,10.191,True,False,1.1653651895318318,0.021399140065959735,1.1364013539783562,0.013514150893368083,0.028963835553475592,0.007884989172591651
airFoil2D_SST_67.008_13.306_3.272_4.7_1.0_9.313,4323613.294955006,13.306,True,False,1.4951699697822036,0.060740947797365,1.6099772395043124,0.019914980034822876,0.11480726972210875,0.04082596776254212
airFoil2D_SST_72.479_0.714_1.541_6.943_0.0_5.203,4676623.209244328,0.714,True,False,0.18107788925801835,0.0032021726665837635,0.23928871453969316,0.007273687800478605,0.058210825281674816,0.004071515133894842
airFoil2D_SST_58.038_-4.278_2.807_7.062_1.0_8.833,3744834.473683719,-4.278,True,False,-0.1539684891561412,-0.008952760253710668,-0.17306727236969188,0.008704267854461822,0.019098783213550685,0.01765702810817249
airFoil2D_SST_58.582_2.593_0.722_7.034_0.0_16.194,3779935.441216783,2.593,True,False,0.2558948040356819,-0.00936798041727091,0.3441432737014571,0.009896959135772848,0.08824846966577521,0.01926493955304376
airFoil2D_SST_77.351_-0.529_2.892_5.291_0.0_17.634,4990983.344944853,-0.529,True,False,0.1938941985851416,0.055648331402855356,0.18753025109461283,0.009590453003972982,0.006363947490528765,0.046057878398882375
